# Language File – BACKEND
# FRENCH
# languages
"english";"Anglais"
"Page";"Page"
"Page Title";"Titre de la page"
"Filename";"Nom du fichier"
"Meta Description";"Description"
"Meta Keywords";"Mots clés"
"Search Tags";"Tags servant à la recherche"
"Update Meta Data";"Mettre à jour les méta données"
"Step 3: Enter the name for your page";"Etape 3: Entrez le nom de votre page"
"Page Name";"Nom de la page"
"Create Page";"Créer une page"
"Content";"Contenu"
"Current design";"Design en cours"
"Open design";"Ouvrir le design"
"The design is not yet set for this page.";"Le design de cette page n'est pas encore défini."
"Other designs";"Autres designs"
"Make current";"Affecter"
"Click the new parent page for this page to move it.";"Cliquer sur la page parente pour y déplacer cette page."
"Page Options";"Options de Page"
"Content Sections";"Sections de contenu"
"Page Head and Meta Data";"Entête de page et méta données"
"Properties";"Propriétés"
"Attachments";"Pièces jointes"
"Related Content";"Contenu associé"
"Content Template";"Modèle de contenu"
"Move Page";"Déplacer la page"
"Page Versions";"versions de page"
"Update Page";"Mettre à jour une page"
"Edit Meta Data";"Editer les méta données"
"Edit Page Properties";"Editer les propriétés de page"
"Remove";"Supprimer"
"Property";"Propriété"
"Value";"Valeur"
"Add a new property";"Ajouter une nouvelle propriété"
"Update properties";"Mettre à jour les propriétés"
"Update Related Content";"Mettre à jour le contenu associé"
"Select the template for this page";"Sélectionner le modèle pour cette page"
"Update Content Template";"Mettre à jour le modèle de contenu"
"My Pages";"Mes pages"
"Create a Page";"Créer une page"
"To create a new page...";"Pour créer une nouvelle page..."
"Step 1: Select the parent section";"Etape 1: Sélectionnez la section parente"
"Parent Page";"Page parente"
"Next >>";"Suivant >>"
"page_my_pages_intro";
"Current Version";"Version en cours"
"Available Versions";"Versions disponibles"
"Default";"Défaut"
"Step 2: What type of page would you like to create?";"Etape 2: Quel type de page voulez vous créer?"
"Select a type";"Sélectionner un type"
"You can not add any pages to this section.";"Vous ne pouvez pas ajouter de pages à cette section,"
"Parent page";"Page parente"
"Site Root";"Racine du site"
"Template";"Modèle"
"Continue adding pages";"Continuer d'ajouter des pages"
"Submit";"Envoyer"
# admin section -- Site --
"Site Settings";"Configurations du site"
"Site";"Site"
"Site Console";"Console du site"
"About the Console";"A propos de la console"
"The site console enables you to interact directly with the CMS core.";"La console du site vous permet d'intéragir directement avec le système interne du CMS."
"It is for experienced administrators only.";"Ceci s'adresse seulement aux utilisateurs avancés."
"Digitalus Console";"Console Digitalus"
"Info";"Info"
"Run Command";"Lancer la commande"
"General";"Général"
"Meta Data";"Méta Données"
"Internationalization";"Internationalisation"
"Mail";"Email"
"Google";"Google"
"Update Site Settings";"Mettre à jour les configurations du site"
"General settings";"Configurations générales"
"Site name";"Nom du site"
"Title separator";"Séparateur de titre"
"Status";"Status"
"Site is online";"Site en ligne"
"Update General Site Settings";"Mettre à jour les configurations générales du site"
"Managing Content";"Gestion du contenu"
"Home Page";"Page d'accueil"
"404 Page";"Page 404"
"Site Offline Page";"Page indiquant que le site est hors ligne"
"Menu links";"Menu de liens"
"Automatically add menu links";"Ajout automatique de menu de liens"
"Update Content Settings";"Mettre à jour les configurations de contenu"
"Default design";"Design par défaut"
"Update Design Settings";"Mettre à jour les configurations du design"
"XML declaration";
"Doc Type";"Type de document"
"Default charset";"Jeu de caractère par défaut"
"Default timezone";"Zone temporelle par défaut"
"Update Page Meta Data";"Mettre à jour les méta données de page"
"Default language";"Langue par défaut"
"Admin language";"Langue de l'administration"
"Update Internationalization Settings";"Mettre à jour les configurations d'internationalisation"
"Mail Settings";"Configurations de mail"
"Default email address";"Adresse mail par défaut"
"Default sender";"Expéditeur par défaut"
"Transport";"Transport"
"Use SMTP transport ";"Utiliser le transport SMTP"
"SMTP host";"Hôte SMTP"
"SMTP username";"Nom d'utilisateur SMTP"
"SMTP password";"Mot de passe SMTP"
"Update Mail Settings";"Mettre à jour les configurations de mail"
"Send test message";"Envoyer un message de test"
"Google Integration";"Intégration Google"
"Verification code";"Code de vérification"
"Tracking code";"Code de suivi"
"Update Google Settings";"Mettre à jour les configurations Google"
"The site sections is where you manage your site.";"Les sections de site sont l'endroit où vous gérez votre site."
"Create new user";"Créer un nouvel utilisateur"
"Admin Users";"Administrateurs"
"Open console";"Ouvrir la console"
# admin section -- User --
"Open User";"Ouvrir le compte de l'utilisateur"
"User";"Utilisateur"
"Create User";"Créer un utilisateur"
"Create New User";"Créer un nouvel utilisateur"
"General Information";"Informations générales"
"User Options";"Options Utilisateur"
"Account";"Compte"
"Credentials";"Identifiant - Mot de passe"
"Permissions";"Permissions"
"Copy Permissions";"Copier les permissions"
"If you have another user who already has the same permissions as this user you can copy that user's role.";"Si vous avez un autre utilisateur qui a déjà les mêmes permissions que cet utilisateur, vous pouvez copier le rôle de celui-ci."
"Update User";"Mettre à jour l'utilisateur"
"Account Information";"Informations sur le compte"
"Email Address";"Adresse mail"
"Admin Role";"Rôle administrateur"
"Update Account";"Mise à jour du compte"
"User Permissions";"Permissions utilisateur"
"Update Permissions";"Mise à jour des permissions"
"Login Credentials";"Identifiants"
"Confirm Password";"Confirmer le mot de passe"
"Update Password";"Mise à jour du mot de passe"
"Site Administrator";"Administrateur du site"
"Super Administrator";"Super Administrateur"
# admin section -- View Helper --
"Unable to locate skin folder";
"Current User";"Utilisateur en cours"
"Role";"Rôle"
"Log Out";"Déconnexion"
"Select One";"Sélectionner en un"
"Select User";"Sélectionner l'utilisateur"
"Always";
"Never";
"By browser check";
"There are no pages in this module";"Il n'y a aucune page dans ce module"
"Select a module";"Sélectionner un module"
"There are no modules currently installed";"Aucun module n'est actuellement installé"
"First";"Premier"
"Previous";"Précédent"
"Next";"Suivant"
"Last";"Dernier"
"The following errors have occurred";"Les erreurs suivantes sont survenues"
"Errors";"Erreurs"
"Message";
"Set Language";"Définir la langue"
"You are reading this page in";"Vous lisez cette page en"
"This page is also translated into";"Cette page est aussi traduite en"
# admin section -- Misc –
"Digitalus CMS";"Digitalus CMS"
"Are you sure you want to delete this?";
"Bookmark label:";
"Your bookmark was successfully saved.";
"Unable to delete item - the item is empty!";
"Unable to cast type:";
"to type:";
"Unable to load content item";
"An error occurred uploading the file";
"This filetype is not allowed";
"Illegal file access attempt. Operation cancelled!";
"Method does not exist";
"Getter does not exist";
"Setter does not exist";
"Unable to load service for this module";
"Unable to set this protected property in Digitalus_Page";
"You are here";"Vous êtes ici"
"Headline";
"Main";
"Header";
"Footer";
"Sidebar";
"Submenu";
"More";
"Module";
# END
