# Language File – BACKEND
# SPANISH
# languages
"english";"ingles"
"Add a new property";"Agregar una nueva propiedad"
"Update properties";"Update propiedades"
"Update Related Content";"Update contenidos relacionados"
"Select the template for this page";"Seleccionar la plantilla para esta página"
"Update Content Template";"Update contenidos de plantilla"
"My Pages";"Mis páginas"
"Create a Page";"Crear página"
"To create a new page...";"Para crear una nueva página..."
"Step 1: Select the parent section";"Paso 1: Seleccionar la sección padre"
"Parent Page";"Página padre"
"Next >>";"Siguiente >>"
"Current Version";"Versión actual"
"Available Versions";"Version disponible"
"Default";"Default"
"Step 2: What type of page would you like to create?";"Paso 2: ¿Que tipo de página deseas crear?"
"Select a type";"Seleccionar tipo"
"You can not add any pages to this section.";"No se puede agregar ninguna página a esta sección"
"Parent page";"Página padre"
"Site Root";"Raiz del sitio"
"Template";"Plantilla"
"Continue adding pages";"Continuar agregando páginas"
"Submit";"Submit"
#  admin section -- Site --
"Site Settings";"Ajustes del sitio"
"Site";"Sitio"
"Site Console";"Consola del sitio"
"About the Console";"Acerca de la consola"
"The site console enables you to interact directly with the CMS core.";"La consola del sitio evita que se interactue directamente con el CMS core."
"It is for experienced administrators only.";"Es solamente para administradores experimentados."
"Digitalus Console";"Consola de digitalus."
"Info";"Información"
"Run Command";"Ejecutar comando"
"General";"General"
"Meta Data";"Información Meta"
"Internationalization";"Internacionalización"
"Mail";"Correo"
"Google";"Google"
"Update Site Settings";"Update ajustes del sitio"
"General settings";"Ajustes generales"
"Site name";"Nombre del sitio"
"Title separator";"Título separados"
"Status";"Status"
"Site is online";"El sitio esta online"
"Update General Site Settings";"Update ajustes generales del sitio"
"Managing Content";"Gestón de contenido"
"Home Page";"Home Page"
"404 Page";"404 Página"
"Site Offline Page";"Sitio sin conexión"
"Menu links";"Enlaces del menú"
"Automatically add menu links";"Añadir automaticamente lso enlaces del menú"
"Update Content Settings";"Update ajustes de contenido"
"Default design";"Diseño default"
"Update Design Settings";"Update ajustes de diseño"
"XML declaration";"Declaración XML"
"Doc Type";"Tipo de documento"
"Default charset";"charset por defecto"
"Default timezone";"zona horaria por defecto"
"Update Page Meta Data";"Update información Meta de la página"
"Default language";"Idioma Default"
"Admin language";"Idioma Administrador"
"Update Internationalization Settings";"Update ajustes de internacionalización"
"Mail Settings";"Ajustes de correo"
"Default email address";"Default email address"
"Default sender";"Remitente Default"
"Transport";"Transporte"
"Use SMTP transport ";"Usar transporte SMTP"
"SMTP host";"SMTP host"
"SMTP username";"SMTP username"
"SMTP password";"SMTP password"
"Update Mail Settings";"Update ajustes de correo"
"Send test message";"Enviar mensaje de prueba"
"Google Integration";"Integración de Google"
"Verification code";"Codigo de verificación"
"Tracking code";"Codigo de seguimiento"
"Update Google Settings";"Update ajustes de Google"
"The site sections is where you manage your site.";"La seccion Sitio es desde donde manejas el sitio"
"Create new user";"Crear un nuevo usuario."
"Admin Users";"Usuarios de administracion"
"Open console";"Abrir consola"
#  admin section -- User --
"Open User";"Abrir usuario"
"User";"Usuario"
"Create User";"crear usuario"
"Create New User";"Crear nuevo usuario"
"General Information";"Información general"
"User Options";"Opciones de usuario"
"Account";"Cuenta"
"Credentials";"Credenciales"
"Permissions";"Permisos"
"Copy Permissions";"Copiar permisos"
"If you have another user who already has the same permissions as this user you can copy that user's role.";"Si ya existe un usuario que tenga los mismos permisos que este usuario, se pueden copiar los roles del usuario."
"Update User";"Update usuario"
"Account Information";"Información de la cuenta"
"Email Address";"Dirección de Email"
"Admin Role";"Rol del administrador"
"Update Account";"Update cuenta"
"User Permissions";"Permisos del usuario"
"Update Permissions";"Update permisos"
"Login Credentials";"credenciales de acceso"
"Confirm Password";"Confirmar password"
"Update Password";"Update Password"
"Site Administrator";"Sitio de administrador"
"Super Administrator";"Super administrador"
#  admin section -- View Helper --
"Unable to locate skin folder";"Imposible localizar skin carpeta"
"Current User";"Usuario actual"
"Role";"Rol"
"Log Out";"Log Out"
"Select One";"Seleccionar uno"
"Select User";"Seleccionar usuario"
"Always";"Siempre"
"Never";"Nunca"
"By browser check";"Por comprobacion del navegador"
"There are no pages in this module";"No hay paginas en este modulo."
"Select a module";"Seleccionar un modulo"
"There are no modules currently installed";"No hay modulos actualmente intalados."
"First";"primero"
"Previous";"Anterior"
"Next";"Siguiente "
"Last";"Último"
"The following errors have occurred";"Han ocurrido los siguientes errores"
"Errors";"Errores"
"Message";"Mensaje"
"Set Language";"Establecer idioma"
"You are reading this page in";"Esta leyendo esta página en"
"This page is also translated into";"Esta página esta también traducida en "
#  admin section -- Misc –-
"Digitalus CMS";"Digitalus CMS"
"Are you sure you want to delete this?";"¿Esta seguro que quiere eliminar esto?"
"Bookmark label:";"Etiqueta del Bookmark:"
"Your bookmark was successfully saved.";"El bookmark ha sido exitosamente guardado."
"Unable to delete item - the item is empty!";"Imposible borrar item – el item esta vacio!"
"Unable to cast type:";"Imposible emitir tipo:"
"to type:";"Con el tipo:"
"Unable to load content item";"Imposible cargar contenido del item"
"An error occurred uploading the file";"Un error ha ocurrido al cargar el archivo"
"This filetype is not allowed";"Este tipo de archivo no esta permitido."
"Illegal file access attempt. Operation cancelled!";"Intento ilegal de acceso a archivo. Operación cancelada!"
"Method does not exist";"El metodo no existe"
"Getter does not exist";"No existe el Getter"
"Setter does not exist";"No existe el Setter"
"Unable to load service for this module";"Imposible cargar el servicio para este modulo"
"Unable to set this protected property in Digitalus_Page";"Imposible establecer esta propiedad protegida en Digitalus_Page"
"You are here";"Estás aquí"
"Headline";"Titular"
"Main";"Principal"
"Header";"Encabezado"
"Footer";"Pie de página"
"Sidebar";"Barra lateral"
"Submenu";"Submenú"
"More";"Más"
"Module";"Módulo"
#  END
