# Language File – BACKEND
# ITALIAN
# languages
"english";"inglese"
"Rename Folder";"Rinomina cartella"
"Current Folder";"Cartella corrente"
"Media Root";"Root dei media"
"Current folder contents";"Contenuto corrente delle cartelle"
"Upload Files";"Carica files"
"Rename folder";"Rinomina cartella"
"Folder Name";"Nome cartella"
"Create Folder";"Crea cartella"
"Subfolders";"Sottocartella"
"Full path";"Percorso completo"
"Files";"Files"
"New Name";"Nuovo nome"
"Select the files to upload";"Selezionare i file da caricare"
"You do not have any media files on the server";"Non hai nessun file media sul server"
# admin section -- Module --
"Modules";"Moduli"
"Download";"Download"
"CMS Modules";"Moduli del CMS"
"Digitalus CMS uses a system of modules to add custom functionality to your site.";"Digitalus CMS utilizza un sistema di moduli per aggiungere funzionalità al tuo sito."
"Select the module page";"Selezionare la pagina del modulo"
"My Modules";"I miei moduli"
# admin section -- Navigation --
"Navigation";"Navigazione"
"Open Menu";"Apri menu"
"Current Menu";"Menu corrente"
"Update Menu";"Aggiorna menu"
"click to toggle visibility";
"Save Changes";"Salva cambiamenti"
"Main Menu";"Menu principale"
# admin section -- Page --
"Pages";"Pagine"
"Sorry, there was an error adding your page";"Spiacenti, c'è stato un errore aggiungendo la pagina"
"Sorry, there was an error opening your page";"Spiacenti, c'è stato un errore aprendo la pagina"
"Page";"Pagina"
"Page Title";"Titolo della pagina"
"Filename";"Nome file"
"Meta Description";"Meta descrizione"
"Meta Keywords";"Meta parole chiave"
"Search Tags";"Tag di ricerca"
"Update Meta Data";"Aggiorna metadati"
"Publish or Archive Page";
"Publish or Archive";
"Step 3: Enter the name for your page";"Passo 3: Inserisi il nome della pagina"
"Page Name";"Nome della pagina"
"Create Page";"Crea pagina"
"Page Options";"Opzioni della pagina"
"Content Sections";"Sezioni di contenuto"
"Page Head and Meta Data";"Intestazione e metadati della pagina"
"Properties";"Proprietà"
"Attachments";"Allegati"
"Related Content";"Contenuti correlati"
"Content Template";"Template del contenuto"
"Move Page";"Sposta pagina"
"Publish / Archive";
"Page Versions";"Versioni della pagina"
"Update Page";"Aggiorna pagina"
"Edit Meta Data";"Modifica metadati"
"Edit Page Properties";"Modifica proprietà della pagina"
"Publish / Archive Page";
"Content";"Contenuto"
"Current design";"Design corrente"
"Open design";"Apri design"
"The design is not yet set for this page.";"Il design non è ancora impostato per questa pagina."
"Other designs";"Altri design"
"Make current";"Imposta come corrente"
"Click the new parent page for this page to move it.";"Clicca la nuova pagina madre della corrente per spostarla"
"Remove";"Rimuovi"
"Property";"Proprietà"
"Value";"Valore"
"Add a new property";"Aggiungi una proprietà"
"Update properties";"Aggiorna proprietà"
"Publish";
"Unpublish";
"Archive";
"The following pages have not been published yet!";
"Change the status of this page.";
"This page was published on";
"This page was archived on";
"The status of this page is";
"Change publishing state";
"Update Related Content";"Aggiorna contenuti correlati"
"Select the template for this page";"Seleziona il template per questa pagina"
"Update Content Template";"Aggiorna il template per il contenuto"
"My Pages";"Le mie pagine"
"Create a Page";"Crea una pagina"
"To create a new page...";"Per creare una pagina.."
"Step 1: Select the parent section";"Passo 1: Seleziona la sezione madre"
"Parent Page";"Pagina madre"
"Next >>";"Avanti >>"
"Current Version";"Versione corrente"
"Available Versions";"Versioni disponibili"
"Default";"Default"
"Step 2: What type of page would you like to create?";"Passo 2: Che tipo di pagina vuoi creare?"
"Select a type";"Seleziona un tipo"
"You can not add any pages to this section.";"Non puoi aggiungere nessuna pagina a questa sezione."
"Parent page";"Pagina madre"
"Site Root";"Root del sito"
"Template";"Template del contenuto"
"Continue adding pages";"Continua ad aggiungere pagine"
"Show Page on menu";
"Publish page instantly";
"Submit";"Invia"
# admin section -- Site --
"Site Settings";"Impostazioni del sito"
"Site";"Sito"
"Site Console";"Console del sito"
"Digitalus CMS Test Message";
"About the Console";"A proposito della console"
"The site console enables you to interact directly with the CMS core.";"La console del sito ti permette di interagire direttamente con il core del sito"
"It is for experienced administrators only.";"È solamente per amministratori esperit"
"Digitalus Console";"Console di digitalus"
"Info";"Informazioni"
"Run Command";"Esegui comando"
"General";"Generale"
"Meta Data";"Metadati"
"Internationalization";"Internazionalizzazione"
"Mail";"Mail"
"Google";"Google"
"Update Site Settings";"Aggiorna le impostazioni del sito"
"General settings";"Impostazioni generali"
"Site name";"Nome del sito"
"Title separator";"Separatore del titolo"
"Status";"Stato"
"Site is online";"Il sito è online"
"Update General Site Settings";"Aggiorna le impostazioni generali del sito"
"Managing Content";"Amministrazione contenuto"
"Home Page";"Home page"
"404 Page";"Pagina 404"
"Site Offline Page";"Pagina sito offline"
"Menu links";"Link del menu"
"Automatically add menu links";"Aggiungi automaticamente i link al menu"
"Publish Pages";
"Automatically publish pages on creation";
"Update Content Settings";"Aggiorna le impostazioni del contenuto"
"Default design";"Design di default"
"Update Design Settings";"Aggiorna le impostazioni del design"
"XML declaration";"Dichiarazione XML"
"Doc Type";"Doctype"
"Default charset";"Codifica di default"
"Default timezone";"Fuso orario di default"
"Update Page Meta Data";"Aggiorna i metadati della pagina"
"Default language";"Lingua predefinita"
"Admin language";"Lingua di amministrazione"
"Update Internationalization Settings";"Aggiorna le impostazioni di internazionalizzazione"
"Mail Settings";"Impostazioni della posta"
"Default email address";"Indirizzo e-mail di default"
"Default sender";"Mittente di default"
"Transport";"Trasporto"
"Use SMTP transport ";"Utilizza un server SMTP"
"SMTP host";"Host SMTP"
"SMTP username";"Utente SMTP"
"SMTP password";"Password SMTP"
"Update Mail Settings";"Aggiorna le impostazioni della posta"
"Send test message";"Invia messaggio di prova"
"Google Integration";"Integrazione con Google"
"Verification code";"Codice di verifica"
"Tracking code";"Tracking code"
"Update Google Settings";"Aggiorna le impostazioni di Google"
"The site sections is where you manage your site.";"La sezione “sito” è dove amministri il tuo sito."
"Create new user";"Crea nuovo utente"
"Admin Users";"Amministrazione utenti"
"Open console";"Apri console"
# admin section -- User --
"Update Account";"Aggiorna acccount"
"Open User";"Apri utente"
"User";"Utente"
"Create User";"Crea utente"
"Create New User";"Crea nuovo utente"
"General Information";"Informazioni generali"
"User Options";"Opzioni"
"Account";"Account"
"Credentials";"Credenziali"
"Permissions";"Permessi"
"Copy Permissions";"Copia permessi"
"If you have another user who already has the same permissions as this user you can copy that user's role.";"Se hai un altro utente che ha gli stessi permessi che vuoi impostare su questo utente allora puoi copiarli"
"Update User";"Aggiorna utente"
"User Permissions";"Permessi utente"
"Update Permissions";"Aggiorna permessi"
"Login Credentials";"Credenziali di accesso"
"Confirm Password";"Conferma password"
"Update Password";"Aggiorna password"
"Email Address";"Indirizzo e-mail"
"OpenID";
"Admin Role";"Ruolo amministratore"
"Site Administrator";"Amministratore del sito"
"Super Administrator";"Super amministratore"
"Account Information";"Informazioni account"
# admin section – Util --
"Invalid placeholder passed";
# admin section -- View Helper --
"Unable to locate skin folder";
"Current User";"Utente corrente"
"Role";"Ruolo"
"Log Out";"Logout"
"Select One";"Seleziona uno"
"Select User";"Seleziona utente"
"Always";"Sempre"
"Never";"Mai"
"By browser check";"Tramite controllo browser"
"Select a module";"Seleziona un modulo"
"There are no modules currently installed";"Non ci sono moduli correntemente installati."
"There are no pages in this module";"Non ci sono pagine in questo modulo."
"First";"Primo"
"Previous";"Precedente"
"Next";"Prossimo"
"Last";"Ultimo"
"The following errors have occurred";"Si sono verificati i seguenti errori"
"Errors";"Errori"
"Message";
"Set Language";"Imposta lingua"
"You are reading this page in";"Stai leggendo questa pagina in"
"This page is also translated into";"Questa pagina è anche tradotta in"
# admin section – Install --
"Digitalus CMS Installer";
"Available Languages:";
"Results";
"For help installing Digitalus CMS check out our site";
"Successfully completed tasks";
"The following tasks were successfully completed:";
"Warnings";
"The following items are not quite right, and should be fixed at some point:";
"The following errors have occurred, and will need to be fixed prior to installation:";
"Your server is properly configured to host the Digitalus CMS efficiently and securely!";
"Site Admin Account";
"Digitalus CMS uses your email address as the username for the CMS, because it is unique and easy to remember. You can enter what ever you like for a password, but bear in mind that your site is only as secure as this password!";
"Database Connection Information";
"Now you need to set up the database connection. If you are unsure about this contact your hosting provider.";
"Database Adapter";
"Database Table Prefix";
"Database Name";
"Database Host";
"Database Username";
"Database Password";
"Install CMS";
"Please double check all of the information on this page. If everything looks right then click <b>Install Now</b> to install Digitalus CMS";
"Install Now";
"Installation Successfull!";
"Digitalus CMS was successfully installed on your domain.";
"Before you use it you must completely delete the <strong>install</strong> folder, as in this screenshot:</p>";
"Once that folder is deleted Digitalus will automatically load when you visit this domain.";
"Digitalus CMS is already installed";
"Could not load config file (";
"Could not write to config file (";
"Successfully loaded and tested site configuration";
"PHP Version: <b>";
"Checked PHP version...OK!";
"Could not write to cache directory  (";
"Checked cache directory...OK!";
"Could not write to media directory  (";
"Checked media directory...OK!";
"Could not write to trash directory  (";
"Checked trash directory...OK!";
"Checked server environment...OK!";
"Your first name is required";
"Your last name is required";
"A valid email address is required";
"Your password is required";
"Your database name is required";
"Your database host is required";
"Your database username is required";
"The target database is not empty";
"Unable to write to target database";
"Database passed tests and is ready to install";
"The database was successfully installed";
"An error occured installing the database";
"Your admin account was successfully created";
"There was an error creating your admin account";
# admin section -- Misc –
"Username";"Nome utente"
"You must enter a username.";"È obbligatorio inserire il nome utente"
"You must enter a password.";"È obbligatorio inserire la password"
"You must enter a valid OpenID.";
"Digitalus CMS";"Digitalus CMS"
"Are you sure you want to delete this?";"Sei sicuro di volerlo eliminare?"
"Bookmark label:";"Etichetta segnalibro:"
"Your bookmark was successfully saved.";"Il tuo segnalibro è stato salvato con successo."
"Sorry, we could not find the page you requested";
"Application Error";
"The page you requested was not found. Digitalus CMS could not locate the error page either.";
"Invalid command";
"Cache cleared Key";
"Cache cleared";
"Error: Cache is not registered";
"The cache clear function will either clear a specified key or all cache files if a key is not specified.";
"Params: key (string, optional)";
"starting import process";
"ERROR: error loading sitemap file";
"The import sitemap command will import an xml sitemap. This file should be located in application/data/ and be named sitemap.xml.";
"loading page nodes";
"ignoring";
"page already exists in this location";
"inserting";
"ERROR: an error occured inserting";
"Validating module directory";
"Module exists. Installing ...";
"Module installed";
"ERROR: Could not load module directory";
"ERROR: Invalid request";
"The install module command will install a module in the database if the module is installed properly.";
"Params: moduleName (string), label (string, optional)";
"The list command lists all of the available functions. Double click a function to open it.";
"ERROR: Could not create pages table.";
"pages table created OK.";
"ERROR: Could not create content_nodes table.";
"content_nodes table created OK.";
"There are no content pages to migrate.";
"pages have been migrated successfully.";
"The Update Database command will update your database from version 1.0.x to 1.5.x.";
"Params: none";
"ERROR: could not update content template references.";
"Content template references updated OK.";
"The Update Version 18 command will update your database from version 1.5 to 1.8";
"The Update Version 19 command will update your database from version 1.8 to 1.9";
"Unable to delete item - the item is empty!";"Impossibile eliminare elemento; l'elemento è vuoto!"
"Unable to cast type:";"Impossibile effettuare il cast del tipo:"
"to type:";"al tipo:"
"Unable to load content item";"Impossibile caricare l'elemento corrente"
"An error occurred uploading the file";"Un errore è avvenuto nel caricamento del file"
"This filetype is not allowed";"Questo tipo di file non è permesso"
"Illegal file access attempt. Operation cancelled!";"Tentativo di accesso a file non autorizzato. Operazione annullata!"
"Method does not exist";"Il metodo non esiste"
"Getter does not exist";"Il getter non esiste"
"Setter does not exist";"Il setter non esiste"
"Unable to load service for this module";"Impossibile caricare il servizio per questo modulo"
"Unable to set this protected property in Digitalus_Page";"Impossibile impostare questa proprietà protetta in Digitalus_Page"
"You are here";"Tu sei qui"
"Headline";
"Main";
"Header";"Header"
"Footer";"Footer"
"Sidebar";"Barra laterale"
"Submenu";"Sottomenu"
"More";"Altro"
"Module";"Modulo"
# END
