# Language File – BACKEND
# POLISH
# languages
"english";"Angielski"
# admin section -- User --
"Open User";"Otwórz użytkownika"
"User";"Użytkownik"
"Create User";"Stwórz użytkownika"
"Create New User";"Stwórz nowego użytkownika"
"General Information";"Informacje ogólne"
"User Options";"Opcje użytkownika"
"Account";"Konto"
"Credentials";"Dane użytkownika"
"Permissions";"Uprawnienia"
"Copy Permissions";
"If you have another user who already has the same permissions as this user you can copy that user's role.";"Jeśli jest już użytkownik posiadający takie uprawnienia jest ten użytkownik, możesz skopiować rolę tego użytkownika."
"Update User";"Uaktualnij użytkownika"
"Account Information";
"Email Address";"Adres email"
"Admin Role";"Rola administracyjna"
"Update Account";
"User Permissions";"Uprawnienia użytkownika"
"Update Permissions";"Uaktualnij uprawnienia"
"Login Credentials";
"Confirm Password";
"Update Password";
"Site Administrator";"Administrator strony"
"Super Administrator";"Super Administrator"
# admin section -- View Helper --
"Unable to locate skin folder";
"Current User";"Aktualny użytkownik"
"Role";"Rola"
"Log Out";"Wyloguj"
"Select One";"Wybierz jeden"
"Select User";"Wybierz użytkownika"
"Always";
"Never";
"By browser check";
"There are no pages in this module";
"Select a module";"Wybierz moduł"
"There are no modules currently installed";
"First";
"Previous";
"Next";
"Last";
"The following errors have occurred";
"Errors";
"Message";
"Set Language";
"You are reading this page in";"Czytasz tę stronę in języku"
"This page is also translated into";"Ta strona jest również przetłumaczona na język"
# admin section -- Misc –
"Digitalus CMS";"Digitalus CMS"
"Are you sure you want to delete this?";
"Bookmark label:";
"Your bookmark was successfully saved.";
"Unable to delete item - the item is empty!";
"Unable to cast type:";
"to type:";
"Unable to load content item";
"An error occurred uploading the file";
"This filetype is not allowed";
"Illegal file access attempt. Operation cancelled!";
"Method does not exist";
"Getter does not exist";
"Setter does not exist";
"Unable to load service for this module";
"Unable to set this protected property in Digitalus_Page";
"You are here";"Jesteś tutaj:"
"Headline";
"Main";
"Header";
"Footer";
"Sidebar";
"Submenu";
"More";
"Module";
# END
