# Language File – BACKEND
# HUNGARIAN
# languages
"english";"angol"
"Select a type";"Válasszon tipust"
"You can not add any pages to this section.";"Ahhez a szekcióhoz nem tud oldalt hozzáadni"
"Parent page";"Szülő oldal"
"Site Root";"Oldal gyökérkönyvtára"
"Template";"Sablon"
"Continue adding pages";"További oldalak hozzáadása"
"Show Page on menu";"Oldal megjelenítése a menün"
"Publish page instantly";"Az oldalt azonnal nyilvánossá teszem"
"Submit";"Elküld"
# admin section -- Site --
"Site Settings";"Weboldal beállításai"
"Site";"Weboldal"
"Site Console";"Konzol"
"Digitalus CMS Test Message";"Digitalis CMS teszt üzenet"
"About the Console";"A konzolról"
"The site console enables you to interact directly with the CMS core.";"A konzolon keresztül direkt elérhető a mag"
"It is for experienced administrators only.";"Csak gyakorlott adminisztrátorok számára"
"Digitalus Console";"Digitalus konzol"
"Info";"Info"
"Run Command";"Parancs futtatása"
"General";"Általános"
"Meta Data";"Meta adatok"
"Internationalization";"Többnyelvűség"
"Mail";"Üzenetek"
"Google";"Google"
"Update Site Settings";"Weboldal beállításainak mentése"
"General settings";"Általános beállítások"
"Site name";"Weboldal neve"
"Title separator";"Cím választókaraktere"
"Status";"Státus"
"Site is online";"A weboldal online van"
"Update General Site Settings";"Weboldal általános beállításainak mentése"
"Managing Content";"Tartalom kezelése"
"Home Page";"Főoldal"
"404 Page";"404 Oldal ( oldal nem található)"
"Site Offline Page";"A weboldal offline oldal"
"Menu links";"Menü linkek"
"Automatically add menu links";"Automatikus menü link hozzáadás"
"Publish Pages";"Oldalakat publikál"
"Automatically publish pages on creation";"Oldalak automatikus nyilvánossá tételel létrehozáskor"
"Update Content Settings";"Tartalmi beállítások mentése"
"Default design";"Alap dizájn"
"Update Design Settings";"Dizjn beállításainak mentése"
"XML declaration";"XML deklaráció"
"Doc Type";"Doc tipusa"
"Default charset";"Alapbeállított kódtábla"
"Default timezone";"Időzóna"
"Update Page Meta Data";"Az oldal Meat adatainak mentése"
"Default language";"Alapbeállított nyelv"
"Admin language";"Admin nyelv"
"Update Internationalization Settings";"Nyelvi beállítások mentése"
"Mail Settings";"Lavelezés beállítai"
"Default email address";"alap email cím"
"Default sender";"Alapbeállított feladó"
"Transport";"Transport"
"Use SMTP transport ";"SMTP  használata"
"SMTP host";"SMTP host"
"SMTP username";"SMTP felhasználó"
"SMTP password";"SMTP jeszó"
"Update Mail Settings";"Levelezés beállításainak mentése"
"Send test message";"Teszt üzenet küldése"
"Google Integration";"Google integráció"
"Verification code";"Verifikációs kód"
"Tracking code";"Tracking kód"
"Update Google Settings";"Google  beállítésok mentése"
"The site sections is where you manage your site.";"A weboldal szekcióiban kezeli a weboldalt és annka tartalmát"
"Create new user";"Új felhasználó létrehozása"
"Admin Users";"Felhasználók admnisztrációja"
"Open console";"Konzol megnyitása"
# admin section -- User --
"Update Account";"Fiók mentése"
"Open User";"Felhasználói fiók megnyitása"
"User";"Felahsználó"
"Create User";"Felhasználó létrehozása"
"Create New User";"Felahsználót létrehoz"
"General Information";"Általános információk"
"User Options";"Felhasznállói beállítások"
"Account";"Fiók mentése"
"Credentials";"Adatok"
"Permissions";"Jogosultság"
"Copy Permissions";"Jogosultságk másolása"
"If you have another user who already has the same permissions as this user you can copy that user's role.";"Amnnyiben már létezik olyan felhasználó kinek jogosultságai megyeznek ennek a felhasználónak jogaival"
"Update User";"Felahsználó adatinak mentése"
"User Permissions";"Felhasználó jogosultságai"
"Update Permissions";"Jogosultságok mentése"
"Login Credentials";"Belépési adatok"
"Confirm Password";"Jelszó helybenhagyása"
"Update Password";"Jelszó frissítése"
"Email Address";"email cím"
"OpenID";"OpenID"
"Admin Role";"Admin jogok"
"Site Administrator";"Siteadmin jogok"
"Super Administrator";"Szuperadmin"
"Account Information";"Fiók információk"
# admin section – Util --
"Invalid placeholder passed";"Hibás placeholder lett átadva"
# admin section -- View Helper --
"Unable to locate skin folder";"A skin mappája nem található"
"Current User";"Aktuális felhasználó"
"Role";"Jogosultság"
"Log Out";"Kijelentkezés"
"Select One";"Váalasszon egy"
"Select User";"Válasszon felhasznállót"
"Always";"Mindig"
"Never";"Soha"
"By browser check";"Böngészőnként"
"Select a module";"Válasszon modult"
"There are no modules currently installed";"Nincs telepített modul"
"There are no pages in this module";"Ebben a modulban nincs oldal"
"First";"Első"
"Previous";"Előző"
"Next";"Következő"
"Last";"Utolsó"
"The following errors have occurred";"A következő hibák történtek"
"Errors";"Hibák"
"Message";"Üzenetek"
"Set Language";"Nyelv beállítása"
"You are reading this page in";"Az oldal nyelve"
"This page is also translated into";"Az oldala további nyelveken is olvasható"
# admin section – Install --
"Digitalus CMS Installer";"igitalus CMS telepítő"
"Available Languages:";"Elérhető nyelvek"
"Results";"Eredmények"
"For help installing Digitalus CMS check out our site";"A digitalus CMS  telepítésének részleteiről többet oldalunkon olvashat"
"Successfully completed tasks";"Sikeresen befejezett feladatok"
"The following tasks were successfully completed:";"A következő feldatokat hajtottuk végre sikeresen:"
"Warnings";"Figyelmeztetések"
"The following items are not quite right, and should be fixed at some point:";"A következő elemeket ajánlatos  javítani a sima működés érdekében:"
"The following errors have occurred, and will need to be fixed prior to installation:";"A következő hibákat kell javíti a sikeres telepítéshez"
"Your server is properly configured to host the Digitalus CMS efficiently and securely!";"Az Ön szervere megfelel a Digitalus hibamentes működéséhez szükséges feltétekleknek"
"Site Admin Account";"Weboldal adminisztrátor fiók"
"Digitalus CMS uses your email address as the username for the CMS, because it is unique and easy to remember. You can enter what ever you like for a password, but bear in mind that your site is only as secure as this password!";"A Digitalus CMS az ön email cimét használja felhasználói név ként"
"Database Connection Information";"Adatbázis kapcsolat adatai"
"Now you need to set up the database connection. If you are unsure about this contact your hosting provider.";"Szükséges egy adatbáziskapcsolat a telepítéshez"
"Database Adapter";"Adatbázis adapter"
"Database Table Prefix";"Adatbázis tábla prefix"
"Database Name";"Adatbázis neve"
"Database Host";"Adatbázis host"
"Database Username";"adatbázis felhasználó név"
"Database Password";"aatbázis jelszó"
"Install CMS";"CMS telepítése"
"Please double check all of the information on this page. If everything looks right then click <b>Install Now</b> to install Digitalus CMS";"Kérjük ellneőrizze az információkat, amennyiben helyesek kattintson a <b>Telepeítés</b> gombra a Digitalus telepítéséhez"
"Install Now";"Telepítés"
"Installation Successfull!";"Telepítés sikeres"
"Digitalus CMS was successfully installed on your domain.";"A Digitalus CMS  feltelepítése sikeres"
"Before you use it you must completely delete the <strong>install</strong> folder, as in this screenshot:</p>";"Mielőtt tovább lépne kérrem törölje az install mappát a szerverről ahogyan a screenshot is látja"
"Once that folder is deleted Digitalus will automatically load when you visit this domain.";"Amint törlődik a mappa a Digitalus automatikusan betöltődik az Ön oldalán"
"Digitalus CMS is already installed";"A dDigitalus már telepítve van"
"Could not load config file (";"A config fájlt nem tudtuk betölteni ("
"Could not write to config file (";"A config file nem irható ("
"Successfully loaded and tested site configuration";"A  weboldal konfigurációját sikeresen betöltöttük és tezsteltük"
"PHP Version: <b>";"PHP verzió"
"Checked PHP version...OK!";"PHP verzió ellenőrizve... OK!"
"Could not write to cache directory  (";"A cache mappa nem írható ("
"Checked cache directory...OK!";"cache mappa ellenőrizve... OK!"
"Could not write to media directory  (";"A media mappa nem írható ("
"Checked media directory...OK!";"media mappa ellenőrizve... OK!"
"Could not write to trash directory  (";"A trash mappa nem írható ("
"Checked trash directory...OK!";"trash  mappa ellenőrizve... OK!"
"Checked server environment...OK!";"Szerver beállításai ellnőrizve...OK!"
"Your first name is required";"Kerezstnevét meg kell adnia"
"Your last name is required";"Családnevét meg kell adnia"
"A valid email address is required";"érvényes email címet kell megadnia"
"Your password is required";"jelszót meg kell adnia"
"Your database name is required";"adatbázis nevét meg kell adnia"
"Your database host is required";"a host nevét meg kell adnia"
"Your database username is required";"az adatbázis felhasználó nevét meg kell adnia"
"The target database is not empty";"a cél adatbázis tábla nem üres"
"Unable to write to target database";"nem tudtunk a céladatbáziba írni"
"Database passed tests and is ready to install";"az adatbázis elenőrizve, megfelel a feltételeknek"
"The database was successfully installed";"adatbázis sikeresen telepítve"
"An error occured installing the database";"hiba történt a táblák feltöltésekor"
"Your admin account was successfully created";"az admin fiók sikeresen létrehozva"
"There was an error creating your admin account";"az admin fiók létrehozása sikertelen"
# admin section -- Misc –
"Username";"Felahsználói név"
"You must enter a username.";"meg kell adnia a elhasználói nevet"
"You must enter a password.";"meg kell adnia jelszót"
"You must enter a valid OpenID.";"érévnyes OpenID-t kell megadnia"
"Digitalus CMS";"Digitalus CMS"
"Are you sure you want to delete this?";"Biztosan törölni szeretné ?"
"Bookmark label:";"Könyvjelző cimke"
"Your bookmark was successfully saved.";"A könyvjelző sikeresen mentve"
"Sorry, we could not find the page you requested";"A keresett oldal nem található"
"Application Error";"Programhiba"
"The page you requested was not found. Digitalus CMS could not locate the error page either.";"Az oldal nem található. És a hibaoldal sem"
"Invalid command";"Hibás parancs"
"Cache cleared Key";"Gyorsítótár ürítésée gomb"
"Cache cleared";"Gyorsítótár kiürítve"
"Error: Cache is not registered";"Hiba: a Gyorsítótár nincs regisztrálva"
"The cache clear function will either clear a specified key or all cache files if a key is not specified.";"A Gyorsítótár ürítése funkció kiüríti a Gyorsítótárat amennyiben nincs kulcs regisztrálva, ellenkező esetben csak az adott fájl kerül törlésre"
"Params: key (string, optional)";"Paraméterek: kulcs(string, opcional)"
"starting import process";"importálás kezdése"
"ERROR: error loading sitemap file";"HIBA: hiba történt a az oldaltérkép betöltésekor"
"The import sitemap command will import an xml sitemap. This file should be located in application/data/ and be named sitemap.xml.";"Az import sitemap parancs importálja az oldalterkep xml fájlt. Ennek a fájlnak a neve sitemap.xml kell legyen és az application/data mappában kell lennie"
"loading page nodes";"oldal csomópntok betöltése"
"ignoring";"Figyelmen kívül hagy"
"page already exists in this location";"az oldal már létezik az adott helyen"
"inserting";"beszúrás"
"ERROR: an error occured inserting";"HIBA: hia történt beszúráskor"
"Validating module directory";"Modul mappájának ellenőrzése"
"Module exists. Installing ...";"Modul létezik, telepítés folyamatban..."
"Module installed";"Modul telepítve"
"ERROR: Could not load module directory";"HIBA: a modul mappája nem tölthető be"
"ERROR: Invalid request";"HIBA: hibás kérés"
"The install module command will install a module in the database if the module is installed properly.";"A install module telepíti a modult az adatbázisba amennyiben a modul sikeresen telepítése sikeres"
"Params: moduleName (string), label (string, optional)";"Paraméterek: modul neve(string),cimke(string, opcionális)"
"The list command lists all of the available functions. Double click a function to open it.";"A lsit parancs kilistázza az összes funkciót, duplakatt a funkcióra a megnyitáshoz"
"ERROR: Could not create pages table.";"HIBA: az oldalak tábla létrehozása sikertelen"
"pages table created OK.";"oldalak tábla sikeren létrehozva"
"ERROR: Could not create content_nodes table.";"HIBA: a content_nodes tábla nem lett létrehozva"
"content_nodes table created OK.";"content_nodes tábla sikeresen létrehozva"
"There are no content pages to migrate.";"Nincs migrálható tartalmi oldal"
"pages have been migrated successfully.";"oldalak sikeresen migrálva"
"The Update Database command will update your database from version 1.0.x to 1.5.x.";"Az Update Database parancs 1.0.x  ról 1.5.x-re aktualizálja az adatbázist"
"Params: none";"Paraméterek: nincs ilyen"
"ERROR: could not update content template references.";"elemek sablonreferenciának frissítése sikertelen"
"Content template references updated OK.";"Tartalmi elemek sablonjainak referenciái sikeresen frissültek"
"The Update Version 18 command will update your database from version 1.5 to 1.8";"Az Update Version 19 parancs frissíti az adatbázis 1.5-ről 1.8 -ae"
"The Update Version 19 command will update your database from version 1.8 to 1.9";"Az Update Version 19 parancs frissíti az adatbázis 1.8-ról 1.9 -re"
"Unable to delete item - the item is empty!";"Elem törlésekor hiba történt: az elem nem üres!"
"Unable to cast type:";"tipus konverzió hibás"
"to type:";"tipusra"
"Unable to load content item";"Tartalmielem betöltésekor hiba történt"
"An error occurred uploading the file";"Hiba a fájl frissítésekor"
"This filetype is not allowed";"Aez a fájltipus nem engedélyezett"
"Illegal file access attempt. Operation cancelled!";"Nem engedélyezett fájhozzáférés kisérlet!"
"Method does not exist";"Metódus nem található"
"Getter does not exist";"Getter nem található"
"Setter does not exist";"Setter nem található"
"Unable to load service for this module";"A modulhoz szükséges szolgáltatást nem tudtuk betölteni"
"Unable to set this protected property in Digitalus_Page";"Védett tulajdonság beállítása sikertelen"
"You are here";"Itt vagyunk most"
"Headline";"Főcím"
"Main";"Fő tartalom"
"Header";"Fejléc"
"Footer";"Lábléc"
"Sidebar";"Oldaloszlop"
"Submenu";"Almenü"
"More";"Tovább"
"Module";"Modul"
# END
