# Language File – BACKEND
# GERMAN
# languages
"english";"Englisch"
"Confirm";"Bestätigen"
"Update My Account";"Benutzerkonto aktualisieren"
"My Bookmarks";"Meine Lesezeichen"
"You do not have any bookmarks.";"Sie haben keine Lesezeichen."
"My Writeboard";"Mein Notizbuch"
"The writeboard is a personal spot for you to keep notes about your site.";"Das Notizbuch ist ein Platz, um persönliche Notizen über Ihre Seite zu hinterlegen."
"Save My Writeboard";"Notizen speichern"
"Digitalus CMS is a community supported open source project. To learn more about the project check out";"Digitalus CMS ist ein von der Gemeinschaft unterstütztes Projekt. Gehe zu folgenden Links, um mehr darüber zu lernen"
"Digitalus Site";"Digitalus Seite"
"Media";"Medien"
"Open Folder";"Verzeichnis öffnen"
"Options";"Optionen"
"Media Manager";"Medien Verwaltung"
"Create New Folder";"Neues Verzeichnis erstellen"
"Browse Folder";"Verzeichnis durchsuchen"
"Upload Media";"Medien hochladen"
"Create Subfolder";"Unterverzeichnis erstellen"
"Rename Folder";"Verzeichnis umbenennen"
"Current Folder";"Aktuelles Verzeichnis"
"Media Root";"Medien Wurzelverzeichnis"
"Current folder contents";"Aktuelles Verzeichnis Inhalt"
"Upload Files";"Dateien hochladen"
"Rename folder";"Verzeichnis umbenennen"
"Folder Name";"Verzeichnisname"
"Create Folder";"Verzeichnis erstellen"
"Subfolders";"Unterverzeichnisse"
"Full path";"Ganzer Pfad"
"Files";"Dateien"
"New Name";"Neuer Name"
"Select the files to upload";"Wählen Sie Dateien zum Hochladen aus"
"You do not have any media files on the server";"Sie haben noch keine Dateien auf dem Server"
"Modules";"Module"
"CMS Modules";"CMS Module"
"Digitalus CMS uses a system of modules to add custom functionality to your site.";"Digitalus CMS verwendet ein System von Modulen, um der Webseite maßgeschneiderte Funktionalitäten hinzuzufügen."
"Select the module page";"Wähle die Modul Seite aus"
"My Modules";"Meine Module"
"Open Menu";"Bearbeite Menü"
"Current Menu";"Aktuelles Menü"
"Update Menu";"Menü aktualisieren"
"Save Changes";"Änderungen speichern"
"Main Menu";"Hauptmenü"
"Pages";"Seiten"
"Sorry, there was an error adding your page";"Entschuldigung, es ist ein Fehler beim Hinzufügen der Seite aufgetreten"
"Sorry, there was an error opening your page";"Entschuldigung, es ist ein Fehler beim Öffnen der Seite aufgetreten"
"Page";"Seite"
"Page Title";"Seiten Titel"
"Filename";"Dateiname"
"Meta Description";"Meta Beschreibung"
"Meta Keywords";"Meta Schlüsselwörter"
"Search Tags";"Such Tags"
"Update Meta Data";"Aktualisiere Meta Daten"
"Step 3: Enter the name for your page";"Schritt 3: Geben Sie den Namen für die neue Seite ein"
"Page Name";"Seitenname"
"Create Page";"Seite erstellen"
"Page Options";"Seiten Optionen"
"Content Sections";"Inhaltsbereich"
"Page Head and Meta Data";"Seiten Head- und Meta-Daten"
"Properties";"Eigenschaften"
"Attachments";"Anhänge"
"Related Content";"Zugehöriger Inhalt"
"Content Template";"Inhaltsvorlage"
"Move Page";"Seite verschieben"
"Page Versions";"Seiten Versionen"
"Update Page";"Seite aktualisieren"
"Edit Meta Data";"Meta-Daten aktualisieren"
"Edit Page Properties";"Seiteneigenschaften bearbeiten"
"Current design";"Aktuelles Design"
"Open design";"Dieses Design öffnen"
"The design is not yet set for this page.";"Für diese Seite ist noch kein Design gesetzt."
"Other designs";"Weitere Designs"
"Make current";"Dieses Design verwenden"
"Click the new parent page for this page to move it.";"Klicken Sie die neue Elternseite für diese Seite an."
"Property";"Eigenschaft"
"Value";"Wert"
"Remove";"entfernen"
"Add a new property";"Eigenschaft hinzufügen"
"Update properties";"Eigenschaften aktualiseren"
"Update Related Content";"Aktualisiere zugehörigen Inhalt"
"Select the template for this page";"Wähle eine Vorlage für diese Seite aus"
"Update Content Template";"Aktualisiere Inhaltsvorlage"
"My Pages";"Meine Seiten"
"Create a Page";"Seite erstellen"
"To create a new page...";"Um eine neue Seite zu erstellen..."
"Step 1: Select the parent section";"Schritt 1: Wähle einen übergeordneten Abschnitt"
"Parent Page";"Übergeordnete Seite"
"Next >>";"Weiter >>"
"Current Version";"Aktuelle Version"
"Available Versions";"Vorhandene Versionen"
"Default";"Standard"
"Select a type";"Wählen Sie einen Seitentyp"
"You can not add any pages to this section.";"Sie können diesem Bereich keine Seiten hinzufügen."
"Parent page";"Elternseite"
"Site Root";"Seitenwurzel"
"Template";"Vorlage"
"Continue adding pages";"Weiterhin Seiten hinzufügen"
"Submit";"Speichern"
"Site Settings";"Webseiten-Einstellungen"
"Site";"Webseite"
"Site Console";"Webseiten-Konsole"
"About the Console";"Über die Konsole"
"The site console enables you to interact directly with the CMS core.";"Die Webseiten-Konsole ermöglicht Ihnen die direkte Interaktion mit dem CMS Kern."
"It is for experienced administrators only.";"Nur für erfahrene Administratoren."
"Digitalus Console";"Digitalus Konsole"
"Run Command";"Kommando ausführen"
"General";"Allgemein"
"Content";"Inhalt"
"Meta Data";"Meta Daten"
"Internationalization";"Internationalisierung"
"Mail";"Email"
"Update Site Settings";"Einstellungen Aktualisieren"
"General settings";"Allgemeine Einstellungen"
"Site name";"Webseiten-Name"
"Title separator";"Titel Trennzeichen"
"Site is online";"Webseite ist online"
"Update General Site Settings";"Allgemeine Webseiten-Einstellungen aktualisieren"
"Managing Content";"Inhalte verwalten"
"Home Page";"Startseite"
"404 Page";"404 Fehlerseite"
"Site Offline Page";"Webseite offline Seite"
"Menu links";"Menü Links"
"Automatically add menu links";"Automatisch Links ins Menü einfügen"
"Update Content Settings";"Inhaltseinstellungen aktualisieren"
"Default design";"Standard Design"
"Update Design Settings";"Aktualisiere Design Einstellungen"
"XML declaration";"XML Deklaration"
"Doc Type";"Dokumenttyp"
"Default charset";"Standard Zeichensatz"
"Default timezone";"Standard Zeitzone"
"Update Page Meta Data";"Aktualisiere Meta Daten der Seite"
"Default language";"Standard Sprache"
"Admin language";"Administrator Sprache"
"Update Internationalization Settings";"Internationalisierungs-Einstellungen aktualisieren"
"Mail Settings";"Mail Einstellungen"
"Default email address";"Standard Email-Addresse"
"Default sender";"Standard Absender"
"Use SMTP transport";"Benutze SMTP Transport"
"SMTP host";"SMTP Host"
"SMTP username";"SMTP Benutzername"
"SMTP password";"SMTP Passwort"
"Update Mail Settings";"Email einstellungen aktualisieren"
"Send test message";"Testnachricht senden"
"Verification code";"Verifikations-Code"
"Tracking code";"Verfolgungs-Code"
"Update Google Settings";"Google Einstellungen aktualisieren"
"The site sections is where you manage your site.";"Im Webseiten-Abschnitt wird deine Webseite verwaltet."
"Create new user";"Neuen Benutzer erzeugen"
"Admin Users";"Admin Benutzer"
"Open console";"Öffne Konsole"
"Open User";"Benutzer bearbeiten"
"User";"Benutzer"
"Create New User";"Neuen Benutzer erzeugen"
"General Information";"Allgemeine Informationen"
"User Options";"Benutzer Optionen"
"Account";"Konto"
"Credentials";"Passwörter"
"Permissions";"Befugnisse"
"Copy Permissions";"Befugnisse kopieren"
"If you have another user who already has the same permissions as this user you can copy that user's role.";"Wenn ein anderer Benutzer mit den gleichen Befugnissen wie dieser existiert, kann seine Rolle einfach kopiert werden."
"Update User";"Benutzer aktualisieren"
"Account Information";"Konto Informationen"
"Email Address";"Email-Addresse"
"Admin Role";"Administrator Rolle"
"Update Account";"Konto aktualisieren"
"User Permissions";"Benutzer Befugnisse"
"Update Permissions";"Befugnisse aktualisieren"
"Login Credentials";"Anmeldungsdaten"
"Confirm Password";"Passwort bestätigen"
"Update Password";"Passwort aktualisieren"
"Site Administrator";"Webseiten-Administrator"
"Current User";"Aktueller Benutzer"
"Role";"Rolle"
"Log Out";"Abmelden"
"Select One";"Auswählen"
"Select User";"Benutzer auswählen"
"Always";"Immer"
"Never";"Nie"
"By browser check";"Durch Browserüberprüfung"
"Select a module";"Wähle eine Modul aus"
"There are no modules currently installed";"Es sind momentan keine Module installiert"
"There are no pages in this module";"Es gibt keine Seiten für diese Modul"
"First";"Erste(r/s)"
"Previous";"Vorherige(r/s)"
"Next";"Nächste(r/s)"
"Last";"Letzte(r/s)"
"The following errors have occurred";"Folgende Fehler sind aufgetreten"
"Errors";"Fehler"
"Set Language";"Sprache setzen"
"You are reading this page in";"Sie lesen diese Seite in"
"This page is also translated into";"Diese Seite wurde übersetzt in"
"Digitalus CMS";"Digitalus CMS"
"Unable to delete item";"the item is empty!"
"Unable to cast type:";"Abbilden von Typ:"
"to type:";"auf diesen Typ nicht möglich"
"Unable to load content item";"Inhaltselement konnte nicht geladen werden"
"An error occurred uploading the file";"Ein Fehler ist beim Hochladen dieser Datei aufgetreten"
"This filetype is not allowed";"Dieser Dateityp ist nicht erlaubt"
"Illegal file access attempt. Operation cancelled!";"Zugriff auf Datei nicht erlaubt! Operation wurde abgebrochen!"
"Method does not exist";"Methode existiert nicht"
"Getter does not exist";"Get-Methode existiert nicht"
"Setter does not exist";"Set-Methode existiert nicht"
"Unable to load service for this module";"Der Service für dieses Modul konnte nicht geladen werden"
"Unable to set this protected property in Digitalus_Page";"Geschützte Eigenschaft konnte in Digitalus_Page nicht gesetzt werden"
"You are here";"Sie befinden sich hier"
"Headline";"Titelzeile"
"Main";"Hauptbereich"
"Header";"Kopfzeile"
"Footer";"Fußzeile"
"Sidebar";"Seitenleiste"
"Submenu";"Untermenü"
"More";"Mehr"
"Module";"Modul"
