# Language File – BACKEND
# FRENCH
# languages
"english";"Anglais"
"Page Versions";"versions de page"
"Update Page";"Mettre à jour une page"
"Edit Meta Data";"Editer les méta données"
"Edit Page Properties";"Editer les propriétés de page"
"Current design";"Design en cours"
"Open design";"Ouvrir le design"
"The design is not yet set for this page.";"Le design de cette page n'est pas encore défini."
"Other designs";"Autres designs"
"Make current";"Affecter"
"Click the new parent page for this page to move it.";"Cliquer sur la page parente pour y déplacer cette page."
"Property";"Propriété"
"Value";"Valeur"
"Remove";"Supprimer"
"Add a new property";"Ajouter une nouvelle propriété"
"Update properties";"Mettre à jour les propriétés"
"Update Related Content";"Mettre à jour le contenu associé"
"Select the template for this page";"Sélectionner le modèle pour cette page"
"Update Content Template";"Mettre à jour le modèle de contenu"
"My Pages";"Mes pages"
"Create a Page";"Créer une page"
"To create a new page...";"Pour créer une nouvelle page..."
"Step 1: Select the parent section";"Etape 1: Sélectionnez la section parente"
"Parent Page";"Page parente"
"Next >>";"Suivant >>"
"Current Version";"Version en cours"
"Available Versions";"Versions disponibles"
"Default";"Défaut"
"Select a type";"Sélectionner un type"
"You can not add any pages to this section.";"Vous ne pouvez pas ajouter de pages à cette section,"
"Parent page";"Page parente"
"Site Root";"Racine du site"
"Template";"Modèle"
"Continue adding pages";"Continuer d'ajouter des pages"
"Submit";"Envoyer"
"Site Settings";"Configurations du site"
"Site Console";"Console du site"
"About the Console";"A propos de la console"
"The site console enables you to interact directly with the CMS core.";"La console du site vous permet d'intéragir directement avec le système interne du CMS."
"It is for experienced administrators only.";"Ceci s'adresse seulement aux utilisateurs avancés."
"Digitalus Console";"Console Digitalus"
"Run Command";"Lancer la commande"
"General";"Général"
"Content";"Contenu"
"Meta Data";"Méta Données"
"Internationalization";"Internationalisation"
"Mail";"Email"
"Update Site Settings";"Mettre à jour les configurations du site"
"General settings";"Configurations générales"
"Site name";"Nom du site"
"Title separator";"Séparateur de titre"
"Site is online";"Site en ligne"
"Update General Site Settings";"Mettre à jour les configurations générales du site"
"Managing Content";"Gestion du contenu"
"Home Page";"Page d'accueil"
"404 Page";"Page 404"
"Site Offline Page";"Page indiquant que le site est hors ligne"
"Menu links";"Menu de liens"
"Automatically add menu links";"Ajout automatique de menu de liens"
"Update Content Settings";"Mettre à jour les configurations de contenu"
"Default design";"Design par défaut"
"Update Design Settings";"Mettre à jour les configurations du design"
"Doc Type";"Type de document"
"Default charset";"Jeu de caractère par défaut"
"Default timezone";"Zone temporelle par défaut"
"Update Page Meta Data";"Mettre à jour les méta données de page"
"Default language";"Langue par défaut"
"Admin language";"Langue de l'administration"
"Update Internationalization Settings";"Mettre à jour les configurations d'internationalisation"
"Mail Settings";"Configurations de mail"
"Default email address";"Adresse mail par défaut"
"Default sender";"Expéditeur par défaut"
"Use SMTP transport";"Utiliser le transport SMTP"
"SMTP host";"Hôte SMTP"
"SMTP username";"Nom d'utilisateur SMTP"
"SMTP password";"Mot de passe SMTP"
"Update Mail Settings";"Mettre à jour les configurations de mail"
"Send test message";"Envoyer un message de test"
"Google Integration";"Intégration Google"
"Verification code";"Code de vérification"
"Tracking code";"Code de suivi"
"Update Google Settings";"Mettre à jour les configurations Google"
"The site sections is where you manage your site.";"Les sections de site sont l'endroit où vous gérez votre site."
"Create new user";"Créer un nouvel utilisateur"
"Admin Users";"Administrateurs"
"Open console";"Ouvrir la console"
"Open User";"Ouvrir le compte de l'utilisateur"
"User";"Utilisateur"
"Create New User";"Créer un nouvel utilisateur"
"General Information";"Informations générales"
"User Options";"Options Utilisateur"
"Account";"Compte"
"Credentials";"Identifiant - Mot de passe"
"Copy Permissions";"Copier les permissions"
"If you have another user who already has the same permissions as this user you can copy that user's role.";"Si vous avez un autre utilisateur qui a déjà les mêmes permissions que cet utilisateur, vous pouvez copier le rôle de celui-ci."
"Update User";"Mettre à jour l'utilisateur"
"Account Information";"Informations sur le compte"
"Email Address";"Adresse mail"
"Admin Role";"Rôle administrateur"
"Update Account";"Mise à jour du compte"
"User Permissions";"Permissions utilisateur"
"Update Permissions";"Mise à jour des permissions"
"Login Credentials";"Identifiants"
"Confirm Password";"Confirmer le mot de passe"
"Update Password";"Mise à jour du mot de passe"
"Site Administrator";"Administrateur du site"
"Super Administrator";"Super Administrateur"
"Current User";"Utilisateur en cours"
"Role";"Rôle"
"Log Out";"Déconnexion"
"Select One";"Sélectionner en un"
"Select User";"Sélectionner l'utilisateur"
"Select a module";"Sélectionner un module"
"There are no modules currently installed";"Aucun module n'est actuellement installé"
"There are no pages in this module";"Il n'y a aucune page dans ce module"
"First";"Premier"
"Previous";"Précédent"
"Next";"Suivant"
"Last";"Dernier"
"The following errors have occurred";"Les erreurs suivantes sont survenues"
"Errors";"Erreurs"
"Set Language";"Définir la langue"
"You are reading this page in";"Vous lisez cette page en"
"This page is also translated into";"Cette page est aussi traduite en"
"Digitalus CMS";"Digitalus CMS"
"Unable to delete item";"Element konnte nicht gelöscht werden"
"You are here";"Vous êtes ici"
