# Language File – BACKEND
# SWEDISH
# languages
"english";"Engelska"
"Open Folder";"Öppna Mapp"
"Options";"Val"
"Media Manager";"Media hanterare"
"Create New Folder";"Skapa Ny Mapp"
"Browse Folder";"Bläddra Mapp"
"Upload Media";"Ladda upp Media"
"Create Subfolder";"Skapa Undermapp"
"Rename Folder";"Byt namn på Mapp"
"Current Folder";"Nuvarande Mapp"
"Media Root";"Media Rot"
"Current folder contents";"Nyvarande mappinnehåll"
"Upload Files";"Ladda upp Filer"
"Rename folder";"Byt namn på mapp"
"Folder Name";"Mappnamn"
"Create Folder";"Skapa Mapp"
"Subfolders";"Undermappar"
"Full path";"Fullständig sökväg"
"Files";"Filer"
"New Name";"Nytt Namn"
"Select the files to upload";"Välj filer att ladda upp"
"You do not have any media files on the server";"Det finns inga media filer på servern"
"Modules";"Modul"
"CMS Modules";"CMS Moduler"
"Digitalus CMS uses a system of modules to add custom functionality to your site.";"Digitalus CMS använder ett system av moduler för att lägga till egna funktioner till din webbplats."
"Select the module page";"Välj en modulsida"
"My Modules";"Mina Moduler"
"Open Menu";"Öppna Meny"
"Update Menu";"Uppdatera Meny"
"Save Changes";"Spara ändringar"
"Main Menu";"Huvudmeny"
"Pages";"Sidor"
"Sorry, there was an error adding your page";"Ursäkta, det blev ett fel att lägga till din sida"
"Page";"Sida"
"Page Title";"Sidans Titel"
"Filename";"Filnamn"
"Meta Description";"Meta Beskrivning"
"Meta Keywords";"Meta Nyckelord"
"Search Tags";"Sök Taggar"
"Update Meta Data";"Uppdatera Page Meta Data"
"Step 3: Enter the name for your page";"Steg 3: Ange sidans namn"
"Page Name";"Sidnamn"
"Create Page";"Skapa Sida"
"Page Options";"Sid Val"
"Page Head and Meta Data";"Sidhuvud och Meta Data"
"Properties";"Egenskaper"
"Content Template";"Mallinnehåll"
"Move Page";"Flytta sida"
"Page Versions";"Sid Versioner"
"Update Page";"Uppdatera Sida"
"Edit Meta Data";"Ändra Meta Data"
"Edit Page Properties";"Ändra Sidegenskaper"
"Current design";"Nuvarande design"
"Open design";"Öppna design"
"The design is not yet set for this page.";"Designen är ännu inte satt för den här sidan."
"Other designs";"Andra designer"
"Make current";"Gör nuvarande"
"Click the new parent page for this page to move it.";"Klicka på en föräldersida för att flytta den här sidan dit"
"Property";"Egenskap"
"Value";"Värde"
"Remove";"Ta bort"
"Add a new property";"Lägg till ny egenskap"
"Update properties";"Uppdatera egenskaper"
"Update Content Template";"Uppdatera mallinnehåll"
"My Pages";"Mina Sidor"
"Create a Page";"Skapa en Sida"
"To create a new page...";"För att skapa en ny sida..."
"Step 1: Select the parent section";"Steg 1: Välj förälder avsnitt"
"Parent Page";"Förälder Sida"
"Next >>";"Nästa >>"
"Current Version";"Nuvarande version"
"Available Versions";"Tillgängliga versioner"
"Default";"standard"
"Select a type";"Välj en typ"
"Parent page";"Förälder sida"
"Site Root";"Sid Rot"
"Continue adding pages";"Fortsätt lägg till sidor"
"Submit";"Skicka"
"Site Settings";"Webbplats Inställningar"
"Site Console";"Webbplats konsol"
"About the Console";"Om konsolen"
"The site console enables you to interact directly with the CMS core.";"Konsolen gör att nu kan interagera direkt med CMS kärnan."
"It is for experienced administrators only.";"Endast för erfarna administratörer."
"Run Command";"Kör Kommando"
"General";"Allmän"
"Content";"Innehåll"
"Internationalization";"Internationalisera"
"Update Site Settings";"Uppdatera Webbplats Inställningar"
"General settings";"Allmäna Inställningar"
"Site name";"Webbplats namn"
"Title separator";"Titel separator"
"Site is online";"Webbplats är online"
"Update General Site Settings";"Uppdatera Allmäna Sid Inställningar"
"Managing Content";"Hantera Innehåll"
"Home Page";"Start Sida"
"404 Page";"404 Sida"
"Site Offline Page";"Webbplats Offline Sida"
"Menu links";"Meny länkar"
"Automatically add menu links";"Lägg till menylänkar automatiskt"
"Update Content Settings";"Uppdatera Innehålls Inställningar"
"Doc Type";"Dokumenttyp"
"Default charset";"Standard teckenkodning"
"Default timezone";"Standard tidszon"
"Update Page Meta Data";"Uppdatera Page Meta Data"
"Default language";"Standard språk"
"Admin language";"Administrations språk"
"Update Internationalization Settings";"Uppdatera Internationalisering Inställningar"
"Mail Settings";"Mail inställningar"
"Default email address";"Standard e-post adress"
"Default sender";"Standard avsändaren"
"Transport";"Trafik"
"Use SMTP transport";"Använd SMTP trafik"
"SMTP host";"SMTP värd"
"SMTP username";"SMTP användarnamn"
"SMTP password";"SMTP lösenort"
"Update Mail Settings";"Uppdatera Mail Inställningar"
"Send test message";"Skicka test meddelande"
"Google Integration";"Google-integration"
"Verification code";"Verifieringskod"
"Tracking code";"Spårningskod"
"Update Google Settings";"Uppdatera Google Inställningar"
"The site sections is where you manage your site.";"Webbplatsavsnitt är där du hanterar din webbplats"
"Create new user";"Skapa ny användare"
"Admin Users";"Administratörsanvändare"
"Open console";"Öppna konsol"
"Open User";"Öppna Användare"
"User";"Användare"
"Create New User";"Skapa Ny Användare"
"General Information";"Allmän information"
"User Options";"Användarval"
"Account";"Konto information"
"Credentials";"Uppgifter"
"Permissions";"Rättigheter"
"If you have another user who already has the same permissions as this user you can copy that user's role.";"Om du har en annan användare som redan har samma behörihet som användaren kan du kopiera användarens roll."
"Update User";"Uppdatera Användare"
"Account Information";"Konto information"
"Email Address";"E-post Adress"
"Admin Role";"Administratörs Roll"
"Update Account";"Uppdatera konto"
"User Permissions";"Användarrättigheter"
"Update Permissions";"Uppdatera användarrättigheter"
"Login Credentials";"Inloggningsuppgifter"
"Update Password";"Uppdatera lösenord"
"Site Administrator";"Webbplats administratör"
"Super Administrator";"Super administratör"
"Current User";"Nuvarande användare"
"Role";"Roll"
"Log Out";"Logga Ut"
"Select One";"Välj en"
"Select User";"Markera användare"
"Select a module";"Välj en modul"
"The following errors have occurred";"Följande fel har uppstått"
"Errors";"Fel"
"You are reading this page in";"Du läser den här sidan i"
"This page is also translated into";"Den här sidan är också översatt till"
"Digitalus CMS";"Digitalus CMS"
"You are here";"Du är här"
