# Language File – BACKEND
# GERMAN
# languages
"english";"Englisch"
"No pages use this design currently.";"Keine Seiten verwenden momentan dieses Design."
"Update Design";"Design aktualisieren"
"Design details";"Design Details"
"This is the default site design";"Dies ist das standard Design"
"Layout";"Layout"
"Skin";"Oberfläche"
# admin section -- Error --
"Sorry, you are not authorized to edit this resource!";"Sie dürfen diese Ressource nicht verändern"
# admin section -- Index --
"Home";"Start"
"Your bookmark was saved successfully.";"Das Lesezeichen wurde erfolgreich gespeichert."
"My Content";"Meine Inhalte"
"The following pages are the pages that you have recently created.";"Die folgenden Seiten wurden kürzlich von Ihnen erstellt."
"These are the modules that you are working with.";"Dies sind die Module, die Sie nutzen."
"These pages have not been published yet.";"Diese Seiten sind noch nicht veröffentlicht worden."
"My Dashboard";"Meine Armatur"
"My Account";"Mein Konto"
"First Name";"Vorname"
"Last Name";"Nachname"
"Email";"Email"
"Update Password?";"Passwort aktualisieren?"
"Password";"Passwort"
"Confirm";"Bestätigen"
"Update My Account";"Benutzerkonto aktualisieren"
"My Bookmarks";"Meine Lesezeichen"
"You do not have any bookmarks.";"Sie haben keine Lesezeichen."
"My Writeboard";"Mein Notizbuch"
"The writeboard is a personal spot for you to keep notes about your site.";"Das Notizbuch ist ein Platz, um persönliche Notizen über Ihre Seite zu hinterlegen."
"Save My Writeboard";"Notizen speichern"
"Digitalus CMS is a community supported open source project. To learn more about the project check out";"Digitalus CMS ist ein von der Gemeinschaft unterstütztes Projekt. Gehe zu folgenden Links, um mehr darüber zu lernen"
"Digitalus Site";"Digitalus Seite"
"Wiki";"Wiki"
"Forum";"Forum"
# admin section -- Media --
"Media";"Medien"
"Open Folder";"Verzeichnis öffnen"
"Options";"Optionen"
"Media Manager";"Medien Verwaltung"
"Create New Folder";"Neues Verzeichnis erstellen"
"Browse Folder";"Verzeichnis durchsuchen"
"Upload Media";"Medien hochladen"
"Create Subfolder";"Unterverzeichnis erstellen"
"Rename Folder";"Verzeichnis umbenennen"
"Current Folder";"Aktuelles Verzeichnis"
"Media Root";"Medien Wurzelverzeichnis"
"Current folder contents";"Aktuelles Verzeichnis Inhalt"
"Upload Files";"Dateien hochladen"
"Rename folder";"Verzeichnis umbenennen"
"Folder Name";"Verzeichnisname"
"Create Folder";"Verzeichnis erstellen"
"Subfolders";"Unterverzeichnisse"
"Full path";"Ganzer Pfad"
"Files";"Dateien"
"New Name";"Neuer Name"
"Select the files to upload";"Wählen Sie Dateien zum Hochladen aus"
"You do not have any media files on the server";"Sie haben noch keine Dateien auf dem Server"
# admin section -- Module --
"Modules";"Module"
"Download";"Download"
"CMS Modules";"CMS Module"
"Digitalus CMS uses a system of modules to add custom functionality to your site.";"Digitalus CMS verwendet ein System von Modulen, um der Webseite maßgeschneiderte Funktionalitäten hinzuzufügen."
"Select the module page";"Wähle die Modul Seite aus"
"My Modules";"Meine Module"
# admin section -- Navigation --
"Navigation";"Navigation"
"Open Menu";"Bearbeite Menü"
"Current Menu";"Aktuelles Menü"
"Update Menu";"Menü aktualisieren"
"click to toggle visibility";"Anklicken um Sichtbarkeit zu ändern"
"Save Changes";"Änderungen speichern"
"Main Menu";"Hauptmenü"
# admin section -- Page --
"Pages";"Seiten"
"Sorry, there was an error adding your page";"Entschuldigung, es ist ein Fehler beim Hinzufügen der Seite aufgetreten"
"Sorry, there was an error opening your page";"Entschuldigung, es ist ein Fehler beim Öffnen der Seite aufgetreten"
"Page";"Seite"
"Page Title";"Seiten Titel"
"Filename";"Dateiname"
"Meta Description";"Meta Beschreibung"
"Meta Keywords";"Meta Schlüsselwörter"
"Search Tags";"Such Tags"
"Update Meta Data";"Aktualisiere Meta Daten"
"Publish or Archive Page";"Seite veröffentlichen oder archivieren"
"Publish or Archive";"Veröffentlichen oder archivieren"
"Step 3: Enter the name for your page";"Schritt 3: Geben Sie den Namen für die neue Seite ein"
"Page Name";"Seitenname"
"Create Page";"Seite erstellen"
"Page Options";"Seiten Optionen"
"Content Sections";"Inhaltsbereich"
"Page Head and Meta Data";"Seiten Head- und Meta-Daten"
"Properties";"Eigenschaften"
"Attachments";"Anhänge"
"Related Content";"Zugehöriger Inhalt"
"Content Template";"Inhaltsvorlage"
"Move Page";"Seite verschieben"
"Publish / Archive";"Veröffentlichen / Archivieren"
"Page Versions";"Seiten Versionen"
"Update Page";"Seite aktualisieren"
"Edit Meta Data";"Meta-Daten aktualisieren"
"Edit Page Properties";"Seiteneigenschaften bearbeiten"
"Publish / Archive Page";"Veröffentliche / Archiviere Seite"
"Content";"Inhalt"
"Current design";"Aktuelles Design"
"Open design";"Dieses Design öffnen"
"The design is not yet set for this page.";"Für diese Seite ist noch kein Design gesetzt."
"Other designs";"Weitere Designs"
"Make current";"Dieses Design verwenden"
"Click the new parent page for this page to move it.";"Klicken Sie die neue Elternseite für diese Seite an."
"Remove";"entfernen"
"Property";"Eigenschaft"
"Value";"Wert"
"Add a new property";"Eigenschaft hinzufügen"
"Update properties";"Eigenschaften aktualisieren"
"Publish";"Veröffentlichen"
"Unpublish";"Veröffentlichung zurücknehmen"
"Archive";"Archivieren"
"The following pages have not been published yet!";"Die folgenden Seiten wurden noch nicht veröffentlicht!"
"Change the status of this page.";"Verändern des Seitenstatus"
"This page was published on";"Diese Seite wurde veröffentlicht am"
"This page was archived on";"Diese Seite wurde archiviert am"
"The status of this page is";"Der Status dieser Seite ist"
"Change publishing state";"Veröffentlichungsstatus ändern"
"Update Related Content";"Aktualisiere zugehörigen Inhalt"
"Select the template for this page";"Wähle eine Vorlage für diese Seite aus"
"Update Content Template";"Aktualisiere Inhaltsvorlage"
"My Pages";"Meine Seiten"
"Create a Page";"Seite erstellen"
"To create a new page...";"Um eine neue Seite zu erstellen..."
"Step 1: Select the parent section";"Schritt 1: Wähle einen übergeordneten Abschnitt"
"Parent Page";"Übergeordnete Seite"
"Next >>";"Weiter >>"
"Current Version";"Aktuelle Version"
"Available Versions";"Vorhandene Versionen"
"Default";"Standard"
"Step 2: What type of page would you like to create?";"Schritt 2: Was für einen Seitentyp möchten Sie erstellen?"
"Select a type";"Wählen Sie einen Seitentyp"
"You can not add any pages to this section.";"Sie können diesem Bereich keine Seiten hinzufügen."
"Parent page";"Elternseite"
"Site Root";"Seitenwurzel"
"Template";"Vorlage"
"Continue adding pages";"Weiterhin Seiten hinzufügen"
"Show Page on menu";"Seite im Menu anzeigen"
"Publish page instantly";"Seite sofort veröffentlichen"
"Submit";"Speichern"
# admin section -- Site --
"Site Settings";"Webseiten-Einstellungen"
"Site";"Webseite"
"Site Console";"Webseiten-Konsole"
"Digitalus CMS Test Message";"Digitalus CMS Testnachricht"
"About the Console";"Über die Konsole"
"The site console enables you to interact directly with the CMS core.";"Die Webseiten-Konsole ermöglicht Ihnen die direkte Interaktion mit dem CMS Kern."
"It is for experienced administrators only.";"Nur für erfahrene Administratoren."
"Digitalus Console";"Digitalus Konsole"
"Info";"Info"
"Run Command";"Kommando ausführen"
"General";"Allgemein"
"Meta Data";"Meta Daten"
"Internationalization";"Internationalisierung"
"Mail";"Email"
"Google";"Google"
"Update Site Settings";"Einstellungen Aktualisieren"
"General settings";"Allgemeine Einstellungen"
"Site name";"Webseiten-Name"
"Title separator";"Titel Trennzeichen"
"Status";"Status"
"Site is online";"Webseite ist online"
"Update General Site Settings";"Allgemeine Webseiten-Einstellungen aktualisieren"
"Managing Content";"Inhalte verwalten"
"Home Page";"Startseite"
"404 Page";"404 Fehlerseite"
"Site Offline Page";"Webseite offline Seite"
"Menu links";"Menü Links"
"Automatically add menu links";"Automatisch Links ins Menü einfügen"
"Publish Pages";"Seiten veröffentlichen"
"Automatically publish pages on creation";"Seite automatisch bei Erstellung veröffentlichen"
"Update Content Settings";"Inhaltseinstellungen aktualisieren"
"Default design";"Standard Design"
"Update Design Settings";"Aktualisiere Design Einstellungen"
"XML declaration";"XML Deklaration"
"Doc Type";"Dokumenttyp"
"Default charset";"Standard Zeichensatz"
"Default timezone";"Standard Zeitzone"
"Update Page Meta Data";"Aktualisiere Meta Daten der Seite"
"Default language";"Standard Sprache"
"Admin language";"Administrator Sprache"
"Update Internationalization Settings";"Internationalisierungs-Einstellungen aktualisieren"
"Mail Settings";"Mail Einstellungen"
"Default email address";"Standard Email-Addresse"
"Default sender";"Standard Absender"
"Transport";"Transport"
"Use SMTP transport ";"Benutze SMTP Transport"
"SMTP host";"SMTP Host"
"SMTP username";"SMTP Benutzername"
"SMTP password";"SMTP Passwort"
"Update Mail Settings";"Email einstellungen aktualisieren"
"Send test message";"Testnachricht senden"
"Google Integration";"Google Integration"
"Verification code";"Verifikations-Code"
"Tracking code";"Verfolgungs-Code"
"Update Google Settings";"Google Einstellungen aktualisieren"
"The site sections is where you manage your site.";"Im Webseiten-Abschnitt wird deine Webseite verwaltet."
"Create new user";"Neuen Benutzer erzeugen"
"Admin Users";"Admin Benutzer"
"Open console";"Öffne Konsole"
# admin section -- User --
"Update Account";"Konto aktualisieren"
"Open User";"Benutzer bearbeiten"
"User";"Benutzer"
"Create User";"Benutzer erzeugen"
"Create New User";"Neuen Benutzer erzeugen"
"General Information";"Allgemeine Informationen"
"User Options";"Benutzer Optionen"
"Account";"Konto"
"Credentials";"Passwörter"
"Permissions";"Befugnisse"
"Copy Permissions";"Befugnisse kopieren"
"If you have another user who already has the same permissions as this user you can copy that user's role.";"Wenn ein anderer Benutzer mit den gleichen Befugnissen wie dieser existiert, kann seine Rolle einfach kopiert werden."
"Update User";"Benutzer aktualisieren"
"User Permissions";"Benutzer Befugnisse"
"Update Permissions";"Befugnisse aktualisieren"
"Login Credentials";"Anmeldungsdaten"
"Confirm Password";"Passwort bestätigen"
"Update Password";"Passwort aktualisieren"
"Email Address";"Email-Adresse"
"OpenID";"OpenID"
"Admin Role";"Administrator Rolle"
"Site Administrator";"Webseiten-Administrator"
"Super Administrator";"Super Administrator"
"Account Information";"Konto Informationen"
# admin section – Util --
"Invalid placeholder passed";"Ungültiger Platzhalter übergeben"
# admin section -- View Helper --
"Unable to locate skin folder";"Das Verzeichnis mit den Skins wurde nicht gefunden"
"Current User";"Aktueller Benutzer"
"Role";"Rolle"
"Log Out";"Abmelden"
"Select One";"Auswählen"
"Select User";"Benutzer auswählen"
"Always";"Immer"
"Never";"Nie"
"By browser check";"Durch Browserüberprüfung"
"Select a module";"Wähle ein Modul aus"
"There are no modules currently installed";"Es sind momentan keine Module installiert"
"There are no pages in this module";"Es gibt keine Seiten für diese Modul"
"First";"Erste(r/s)"
"Previous";"Vorherige(r/s)"
"Next";"Nächste(r/s)"
"Last";"Letzte(r/s)"
"The following errors have occurred";"Folgende Fehler sind aufgetreten"
"Errors";"Fehler"
"Message";"Nachricht"
"Set Language";"Sprache setzen"
"You are reading this page in";"Sie lesen diese Seite in"
"This page is also translated into";"Diese Seite wurde übersetzt in"
# admin section – Install --
"Digitalus CMS Installer";"Digitalus CMS Installierer"
"Available Languages:";"Vorhandene Sprachen:"
"Results";"Ergebnisse"
"For help installing Digitalus CMS check out our site";"Für Hilfe beim Installieren von Digitalus CMS besuchen Sie unsere Webseite"
"Successfully completed tasks";"Erfolgreich beendete Aufgaben"
"The following tasks were successfully completed:";"Die folgenden Aufgaben wurden erfolgreich beendet"
"Warnings";"Warnungen"
"The following items are not quite right, and should be fixed at some point:";"Die folgenden Dinge sind nicht ganz korrekt und sollten irgendwann korrigiert werden:"
"The following errors have occurred, and will need to be fixed prior to installation:";"Die folgenden Fehler sind aufgetreten und müssen vor der Installation behoben werden"
"Your server is properly configured to host the Digitalus CMS efficiently and securely!";"Ihr Server ist korrekt konfiguriert, um Digitalus CMS effizient und sicher zu beherbergen"
"Site Admin Account";"Webseiten Administrator Konto"
"Digitalus CMS uses your email address as the username for the CMS, because it is unique and easy to remember. You can enter what ever you like for a password, but bear in mind that your site is only as secure as this password!";"Digitalus CMS verwendet Ihre Email-Adresse als Benutzername für das CMS, weil sie einzigartig und leicht zu merken ist. Sie können für das Passwort eingeben, was Sie möchten, aber denken Sie bitte daran, dass Ihre Webseite nur so sicher ist wie Ihr Passwort!"
"Database Connection Information";"Datenbank Verbindungs-Informationen"
"Now you need to set up the database connection. If you are unsure about this contact your hosting provider.";"Nun müssen Sie Ihre Datenbank-Verbindung eingeben. Wenn Sie sich nicht sicher sind, wie die Daten lauten, kontaktieren Sie am besten Ihren Webhosting-Provider."
"Database Adapter";"Datenbank Adapter"
"Database Table Prefix";"Datenbank Tabellenprefix"
"Database Name";"Datenbank Name"
"Database Host";"Datenbank Host"
"Database Username";"Datenbank Benutzername"
"Database Password";"Datenbank Passwort"
"Install CMS";"Installiere CMS"
"Please double check all of the information on this page. If everything looks right then click <b>Install Now</b> to install Digitalus CMS";"Bitte überprüfen Sie Ihre Angaben auf dieser Seite sehr sorgfältig.Wenn alles korrekt ist, klicken Sie auf <strong>Jetzt installieren</strong>, um Digitalus CMS zu installieren"
"Install Now";"Jetzt installieren"
"Installation Successfull!";"Installation erfolgreich!"
"Digitalus CMS was successfully installed on your domain.";"Digitalus CMS wurde erfolgreich auf Ihrer Domain installiert."
"Before you use it you must completely delete the <strong>install</strong> folder, as in this screenshot:</p>";"Bevor Sie es benutzen können, müssen Sie das <strong>install</strong> Verzeichnis löschen, wie in diesem Screenshot:"
"Once that folder is deleted Digitalus will automatically load when you visit this domain.";"Sobald dieses Verzeichnis gelöscht ist, wird automatisch das Digitalus CMS geladen, wenn Sie diese Seite besuchen."
"Digitalus CMS is already installed";"Digitalus CMS ist bereits installiert"
"Could not load config file (";"Fehler beim Laden der Konfigurationsdatei ("
"Could not write to config file (";"Fehler beim Schreiben der Konfigurationsdatei ("
"Successfully loaded and tested site configuration";"Die Webseiten-Konfiguration wurde erfolgreich geladen und getestet"
"PHP Version: <b>";"PHP Version: <b>"
"Checked PHP version...OK!";"Überprüfung PHP Version … OK!"
"Could not write to cache directory  (";"Fehler beim Schreiben in das Cache Verzeichnis ("
"Checked cache directory...OK!";"Überprüfung Cache Verzeichnis … OK!"
"Could not write to media directory  (";"Fehler beim Schreiben in das Medien Verzeichnis ("
"Checked media directory...OK!";"Überprüfung Medien Verzeichnis … OK!"
"Could not write to trash directory  (";"Fehler beim Schreiben in das Mülleimer Verzeichnis ("
"Checked trash directory...OK!";"Überprüfung Mülleimer Verzeichnis … OK!"
"Checked server environment...OK!";"Überprüfung Server Umgebung … OK!"
"Your first name is required";"Ihr Vorname wird benötigt"
"Your last name is required";"Ihr Nachname wird benötigt"
"A valid email address is required";"Eine gültige Email-Adresse wird benötigt"
"Your password is required";"Ein Passwort wird benötigt"
"Your database name is required";"Ein Datenbank Name wird benötigt"
"Your database host is required";"Ein Datenbank Host wird benötigt"
"Your database username is required";"Ein Datenbank Benutzername wird benötigt"
"The target database is not empty";"Die Zieldatenbank ist nicht leer"
"Unable to write to target database";"Fehler beim Schreiben in die Datenbank"
"Database passed tests and is ready to install";"Die Datenbank bestand die Überprüfungen und ist bereit für die Installation"
"The database was successfully installed";"Die Daten wurden erfolgreich in die Datenbank geschrieben"
"An error occured installing the database";"Ein Fehler ist bei der Installation der Datenbank aufgetreten"
"Your admin account was successfully created";"Ihr Administrationskonto wurde erfolgreich erstellt"
"There was an error creating your admin account";"Es ist ein Fehler beim Erstellen Ihres Administrator-Kontos aufgetreten"
# admin section -- Misc –
"Username";"Benutzername"
"You must enter a username.";"Sie müssen einen Benutzernamen eingeben."
"You must enter a password.";"Sie müssen ein Passwort eingeben."
"You must enter a valid OpenID.";"Sie müssen eine gültige OpenID eingeben."
"Digitalus CMS";"Digitalus CMS"
"Are you sure you want to delete this?";"Sind Sie sicher, dass Sie dieses Element löschen möchten?"
"Bookmark label:";"Name des Lesezeichens:"
"Your bookmark was successfully saved.";"Ihr Lesezeichen wurde erfolgreich gespeichert."
"Sorry, we could not find the page you requested";"Entschuldigung, die angeforderte Seite konnte nicht gefunden werden"
"Application Error";"Fehler in der Anwendung"
"The page you requested was not found. Digitalus CMS could not locate the error page either.";"Die Seite, die Sie suchen wurde nicht gefunden. Digitalus CMS konnte die Fehler-Seite auch nicht finden."
"Invalid command";"Ungültiger Befehl"
"Cache cleared Key";"Gelöschter Cache Schlüssel"
"Cache cleared";"Cache gelöscht"
"Error: Cache is not registered";"FEHLER: Cache ist nicht registriert"
"The cache clear function will either clear a specified key or all cache files if a key is not specified.";"Die Cache-Löschen Funktion löscht entweder einen angegebenen Schlüssel oder alle Cache Dateien, wenn kein Schlüssel angegeben wurde."
"Params: key (string, optional)";"Parameter: Schlüssel (string, optional)"
"starting import process";"beginne Import-Prozess"
"ERROR: error loading sitemap file";"FEHLER: Fehler beim Laden der Sitemap-Datei"
"The import sitemap command will import an xml sitemap. This file should be located in application/data/ and be named sitemap.xml.";"Der ImportSitemap-Befehl importiert eine XML-Sitemap. Die Datei sollte im Verzeichnis application/data liegen und sitemap.xml heißen."
"loading page nodes";"laden der Seiten-Knoten"
"ignoring";"ignoriere"
"page already exists in this location";"Seite existiert bereits an dieser Stelle"
"inserting";"einfügen"
"ERROR: an error occured inserting";"FEHLER: ein Fehler ist beim Einfügen aufgetreten"
"Validating module directory";"Validiere Modul-Verzeichnis"
"Module exists. Installing ...";"Modul existiert, installiere …"
"Module installed";"Modul installiert"
"ERROR: Could not load module directory";"FEHLER: Modul-Verzeichnis konnte nicht geladen werden"
"ERROR: Invalid request";"FEHLER: ungültige Anfrage"
"The install module command will install a module in the database if the module is installed properly.";"Der InstallModule-Befehl installiert ein Modul in der Datenbank, wenn das Modul korrekt installiert ist."
"Params: moduleName (string), label (string, optional)";"Parameter: Modulname (string), Bezeichnung (string, optional)"
"The list command lists all of the available functions. Double click a function to open it.";"Der List-Befehl listet alle vorhandenen Funktionen auf. Bei Doppelklick wird die Funktion geöffnet."
"ERROR: Could not create pages table.";"FEHLER: pages Tabelle konnte nicht angelegt werden."
"pages table created OK.";"Pages Tabelle Anlegen OK"
"ERROR: Could not create content_nodes table.";"FEHLER: content_nodes Tabelle konnte nicht angelegt werden."
"content_nodes table created OK.";"content_nodes Tabelle Anlegen OK."
"There are no content pages to migrate.";"Es gibt keine Inhalte zu migrieren."
"pages have been migrated successfully.";"Seiten wurden erfolgreich migriert."
"The Update Database command will update your database from version 1.0.x to 1.5.x.";"Der UpdateDatabase-Befehl aktualisiert Ihre Datenbank von Version 1.0.x auf 1.5.x."
"Params: none";"Parameter: keine"
"ERROR: could not update content template references.";"FEHLER: Inhaltsvorlagen-Beziehungen konnten nicht aktualisiert werden."
"Content template references updated OK.";"Inhaltsvorlagen-Beziehungen Aktualisieren OK"
"The Update Version 18 command will update your database from version 1.5 to 1.8";"Der UpdateVersion18-Befehl aktualisiert Ihre Datenbank von Version 1.5.x auf 1.8.x."
"The Update Version 19 command will update your database from version 1.8 to 1.9";"Der UpdateVersion19-Befehl aktualisiert Ihre Datenbank von Version 1.8.x auf 1.9.x."
"Unable to delete item - the item is empty!";"Element konnte nicht gelöscht werden - das Element ist leer!"
"Unable to cast type:";"Abbilden von Typ:"
"to type:";"auf diesen Typ nicht möglich"
"Unable to load content item";"Inhaltselement konnte nicht geladen werden"
"An error occurred uploading the file";"Ein Fehler ist beim Hochladen dieser Datei aufgetreten"
"This filetype is not allowed";"Dieser Dateityp ist nicht erlaubt"
"Illegal file access attempt. Operation cancelled!";"Zugriff auf Datei nicht erlaubt! Operation wurde abgebrochen!"
"Method does not exist";"Methode existiert nicht"
"Getter does not exist";"Get-Methode existiert nicht"
"Setter does not exist";"Set-Methode existiert nicht"
"Unable to load service for this module";"Der Service für dieses Modul konnte nicht geladen werden"
"Unable to set this protected property in Digitalus_Page";"Geschützte Eigenschaft konnte in Digitalus_Page nicht gesetzt werden"
"You are here";"Sie befinden sich hier"
"Headline";"Titelzeile"
"Main";"Hauptbereich"
"Header";"Kopfzeile"
"Footer";"Fußzeile"
"Sidebar";"Seitenleiste"
"Submenu";"Untermenü"
"More";"Mehr"
"Module";"Modul"
# END
